timestamp,ISODate,IdBundesland,Bundesland,Impfungenkumulativ,DifferenzzumVortag,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
1609977600,2021-01-07,11,Berlin,24159,2204,15037,8402,105,15272
1609977600,2021-01-07,12,Brandenburg,8182,2778,436,7724,21,433
1609977600,2021-01-07,13,Mecklenburg-Vorpommern,21713,2359,811,11746,46,9712
1609977600,2021-01-07,14,Sachsen,13006,2239,858,11072,1,1933
1609977600,2021-01-07,15,Sachsen-Anhalt,17624,501,5569,8461,738,8818
1609977600,2021-01-07,16,Thüringen,5343,1165,650,4096,21,583
1610064000,2021-01-08,0,Gesamt,476959,50938,109314,232473,17267,188746
1610064000,2021-01-08,1,Schleswig-Holstein,23903,3831,5606,10747,3655,9099
1610064000,2021-01-08,2,Hamburg,8471,1392,2788,4313,108,2352
1610064000,2021-01-08,3,Niedersachsen,32170,7975,7075,15989,6226,18332
1610064000,2021-01-08,4,Bremen,4505,621,1033,1764,34,1491
1610064000,2021-01-08,5,Nordrhein-Westfalen,90802,5986,0,39465,0,51345
1610064000,2021-01-08,6,Hessen,46006,1884,12286,27009,2101,17520
1610064000,2021-01-08,7,Rheinland-Pfalz,20792,4991,2154,11833,0,6805
1610064000,2021-01-08,8,Baden-Württemberg,49103,6180,25827,14560,2433,8088
1610064000,2021-01-08,9,Bayern,88916,4567,20212,44516,1609,30110
1610064000,2021-01-08,10,Saarland,7358,837,5596,966,0,2663
1610064000,2021-01-08,11,Berlin,26406,2247,16673,9109,105,16773
1610064000,2021-01-08,12,Brandenburg,11481,3299,1029,10391,53,558
1610064000,2021-01-08,13,Mecklenburg-Vorpommern,24060,1792,1260,12515,137,11130
1610064000,2021-01-08,14,Sachsen,15593,2587,985,13343,1,2249
1610064000,2021-01-08,15,Sachsen-Anhalt,19399,1775,6008,9554,783,9500
1610064000,2021-01-08,16,Thüringen,7994,974,782,6399,22,731
1610150400,2021-01-09,0,Gesamt,476959,50938,109314,232473,17267,188746
1610150400,2021-01-09,1,Schleswig-Holstein,23903,3831,5606,10747,3655,9099
1610150400,2021-01-09,2,Hamburg,8471,1392,2788,4313,108,2352
1610150400,2021-01-09,3,Niedersachsen,32170,7975,7075,15989,6226,18332
1610150400,2021-01-09,4,Bremen,4505,621,1033,1764,34,1491
1610150400,2021-01-09,5,Nordrhein-Westfalen,90802,5986,0,39465,0,51345
1610150400,2021-01-09,6,Hessen,46006,1884,12286,27009,2101,17520
1610150400,2021-01-09,7,Rheinland-Pfalz,20792,4991,2154,11833,0,6805
1610150400,2021-01-09,8,Baden-Württemberg,49103,6180,25827,14560,2433,8088
1610150400,2021-01-09,9,Bayern,88916,4567,20212,44516,1609,30110
1610150400,2021-01-09,10,Saarland,7358,837,5596,966,0,2663
1610150400,2021-01-09,11,Berlin,26406,2247,16673,9109,105,16773
1610150400,2021-01-09,12,Brandenburg,11481,3299,1029,10391,53,558
1610150400,2021-01-09,13,Mecklenburg-Vorpommern,24060,1792,1260,12515,137,11130
1610150400,2021-01-09,14,Sachsen,15593,2587,985,13343,1,2249
1610150400,2021-01-09,15,Sachsen-Anhalt,19399,1775,6008,9554,783,9500
1610150400,2021-01-09,16,Thüringen,7994,974,782,6399,22,731
1610236800,2021-01-10,0,Gesamt,532878,50066,122622,261536,20043,206772
1610236800,2021-01-10,1,Schleswig-Holstein,28241,3936,6486,12623,3947,10551
1610236800,2021-01-10,2,Hamburg,9888,1417,3172,5188,116,2579
1610236800,2021-01-10,3,Niedersachsen,41646,7803,9369,20483,7978,22615
1610236800,2021-01-10,4,Bremen,5291,720,1054,2103,42,1924
1610236800,2021-01-10,5,Nordrhein-Westfalen,98950,6574,0,43671,0,55287
1610236800,2021-01-10,6,Hessen,48653,2647,12574,28861,2320,18148
1610236800,2021-01-10,7,Rheinland-Pfalz,25482,4376,3777,14104,4,7597
1610236800,2021-01-10,8,Baden-Württemberg,55320,6213,29263,16514,2561,9100
1610236800,2021-01-10,9,Bayern,93966,5050,20665,47801,1676,31568
1610236800,2021-01-10,10,Saarland,8232,874,6236,1104,0,2938
1610236800,2021-01-10,11,Berlin,28871,2465,18591,9676,105,18171
1610236800,2021-01-10,12,Brandenburg,13895,2414,1608,12192,87,908
1610236800,2021-01-10,13,Mecklenburg-Vorpommern,25141,779,1473,13122,194,11541
1610236800,2021-01-10,14,Sachsen,17991,2398,1024,15283,1,2707
1610236800,2021-01-10,15,Sachsen-Anhalt,20799,1400,6427,10228,987,10214
1610236800,2021-01-10,16,Thüringen,10512,1000,903,8583,25,924
1610323200,2021-01-11,0,Gesamt,613347,28221,144648,296755,22159,238053
1610323200,2021-01-11,1,Schleswig-Holstein,31431,0,7457,13050,4301,12323
1610323200,2021-01-11,2,Hamburg,12695,1336,4312,6397,144,3361
1610323200,2021-01-11,3,Niedersachsen,45342,513,9968,22613,8519,25233
1610323200,2021-01-11,4,Bremen,6303,491,1070,2607,43,2426
1610323200,2021-01-11,5,Nordrhein-Westfalen,114762,3676,0,52000,0,62770
1610323200,2021-01-11,6,Hessen,54361,2120,14595,31645,2723,20567
1610323200,2021-01-11,7,Rheinland-Pfalz,29994,1866,3852,16859,5,9278
1610323200,2021-01-11,8,Baden-Württemberg,65488,4369,35369,19392,2838,10274
1610323200,2021-01-11,9,Bayern,120136,12109,27674,59598,2117,41058
1610323200,2021-01-11,10,Saarland,9157,0,6956,1229,0,3253
1610323200,2021-01-11,11,Berlin,32014,1026,21120,10308,105,19661
1610323200,2021-01-11,12,Brandenburg,14063,0,1682,12236,87,982
1610323200,2021-01-11,13,Mecklenburg-Vorpommern,25141,0,1473,13122,194,11541
1610323200,2021-01-11,14,Sachsen,19756,715,1357,16051,1,3704
1610323200,2021-01-11,15,Sachsen-Anhalt,21914,0,6860,10787,1057,10698
1610323200,2021-01-11,16,Thüringen,10790,0,903,8861,25,924
1610409600,2021-01-12,0,Gesamt,688782,60858,166335,330613,25372,262219
1610409600,2021-01-12,1,Schleswig-Holstein,38426,3987,11324,15015,5175,16080
1610409600,2021-01-12,2,Hamburg,14273,1578,4944,6649,692,3675
1610409600,2021-01-12,3,Niedersachsen,54168,7607,11768,27608,9632,29107
1610409600,2021-01-12,4,Bremen,6999,682,1073,2993,44,2733
1610409600,2021-01-12,5,Nordrhein-Westfalen,124637,3783,0,57067,0,67578
1610409600,2021-01-12,6,Hessen,57475,3114,15315,33237,2915,22059
1610409600,2021-01-12,7,Rheinland-Pfalz,36466,5947,7095,19277,9,10085
1610409600,2021-01-12,8,Baden-Württemberg,73776,5286,38372,20848,2909,11326
